Term,Synonyms,Definition
supernumerary nuclei,,"the nuclei (commonly 7) which are rejected from inclusion in the egg cell following meiosis in the oogonium (e.g. in cystoseiraceae). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
supporting cell,,"a cell bearing one or more carpogonial branches and constituting a layer across the floor of a carpogonial conceptacle (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
sympatric,,"with areas of distribution that coincide or overlap (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
sympodial,,"growth where the apex of an axis is displaced by a subtending lateral branch and becomes a pseudo lateral. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
syn type,,"a taxonomic term meaning a specimen cited by the author if no holotype was designated; one of a number of specimens given as types. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
syngamy,,"the union of 2 gametes or fertilization. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
synonym,,"one of two or more names for the same taxon. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
syntype,,"any one of two or more specimens cited by the author when no holotype was designated; or any one of two or more specimens simultaneously designated as types. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
tabulae incertae,,"a latin phrase meaning ""an uncertain record (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
tannin cell,,"a cell with dark phenolic inclusions. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
taxon,taxa,"a group of organisms, at any level, in the classification of plants or animals. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
taxonomy,,"the orderly recognition of organisms according to their presumed natural relationships. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
tela arachnoidea,,"a latin phrase describing a network oflong cells on the inside of pericarps and surrounding carposporophytes (e.g., rhodymeniales). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
tendril,,"a twining or clasping structure. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
terete,,"circular in transverse section. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
terminal,,"outer tip, distal end, apex, or the end cell in a chain. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
terminal initial,,"an initial terminating a filament; cf. subepithallial initial (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
tetra/ bisporangial,,"term used when data apply to both types of conceptacle (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
tetrahedral,,"division of tetrasporangium in which all radial walls are at 120° to each other. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
tetrasporangium,,"a sporangium whose contents divide meiotically (presumably) and (in corallinaceae) simultaneously to form four zonately arranged haploid (presumably) tetraspores; cf.bisporangium (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
tetrasporangium ,tetraspore,"a single-celled sporangium in which 4 tetraspores are produced by meiosis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
tetraspore,,"one of the four spores formed in a tetrasporangium. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
tetrasporoblast,,"a gonimoblast producing tetrasporangia instead of the more usual carposporangia. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
tetrasporocyte,,"contents of a sporangium destined to divide into four spores (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
tetrasporophyte,,"a diploid phase (sporophyte) in a life history of a red alga that usually bears haploid tetraspores. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
tetrastichous,,"in four rows along axis. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
thallus,,"a term used for the whole organism. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
thallus ,thalli,"a general term for algal morphologies that lack a true embryo phase and are non-vascular (see cryptogamic). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
theca ,thecae,"a sac or case. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
thylakoid,,"pigmented membranous vesicles within plastids; the site of photosynthesis. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
tier,,"stratum of aligned vegetative cells (fig.12) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
tomentose,,"wooly or covered with dense matted hairs or filaments. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
tongue cell,,"a specialised initial cell formed during the development of a conceptacle. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
tortuous,,"having repeated bends or twists; also winding or contorted. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
torulose,,"cylindric, with swellings at intervals. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
trabeculum ,trabecular,"finger- or strand-like wall ingrowths (e.g., ulva radiata). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
transluscent,,"letting light pass; semi-transparent. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
transverse,transverse section,"section of material made at right angles to its long axis (e.g., a cross section). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
tribe,,"phylogenetic grouping of genera at a level below that of subfamily. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
tribuliform,,"almost triangular in face view, but with a small bulge in the middle of the upper side. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
trichoblast,,"a simple or branched filament that is pigmented or colorless; it arises exogenously from the tips of thalli and is usually shed (deciduous). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
trichoblasts,,"simple or branched filaments, pigmented or colourless, formed in particular positions near apices, often on every segment of axis, usually shed rapidly (deciduous). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
trichocyst,,"an enlarged internal hyaline cell in crustose coralline algae; also called a heterocyst or megacell. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
trichocyte,,"a complex of one or more surface or near surface cells potentially hair-bearing and persisting for varying lengths of time (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
trichocyte field,,"group of trichocytes on thallus surface interspersed with normal vegetative cells, e.g. hydrolithon cruciatum (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
trichogyne,,"receptive apical prolongation of the carpogonium. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
trichoid,,"erect and filamentous; contrasting with peltoid. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
trichothallic,,"a method of growth, with a meristematic region in an intercalary position, usually near the base of a filament. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
trichothallic growth,,"the site of active cell division located between the apex and base of a filament or group of filaments, as in some brown algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
trichotomous,,"bearing three branches at each branch point. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
trifurcate,,"having 3 prongs that diverge from the same point. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
triphasic,,"a life history in some advanced red algae that has 3 morphological phases gametophytic, carposporophytic, and tetrasporophytic. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
triploid,,"having 3 sets of chromosomes (see diploid, haploid). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
triquetrous,,"a three sided structure, triangular in cross section. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
triseriate,,"consisting, wholly or in part, of three rows of cells in longitudinal series. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
tristichous,,"with laterals in rows on three sides of the axis or branch. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
tristromatic,,"composed of three layers of cells. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
true hairs,,"as in phaeophycean hairs (versus pseudohairs). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
truncate,,"with the end abruptly flattened as if cut off. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
ts,,"transverse section. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
tubercle,,"small swellings or warty outgrowths. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
tubular,,"hollow cylindrical shape. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
tuft ,tufted,"a group of closely packed filaments attached at a single basal point that is not within a sheath. turbinate. top-shaped or inversely conical. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
turbinate,,"inversely conical, with a contraction towards the point. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
turf,,"a dense layer of short upright shoots arising from prostrate bases, as in a lawn. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
type,,"the specimen on which a species (or lesser category) is based (see holotype, isotype), or the species name which provides the basis of the genus; similarly for higher taxa. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
type ,,"that element to which the name of a taxon is permanently attached, whether as a correct name or as a synonym. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
type location,,"the geographic locality where a species was first described. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ultrastructure,,"the submicroscopic structure of cells as shown in the electron microscope. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
umbilicate,,"with a navel. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
uncinate,,"hook-like. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
unconsolidated,,"thallus in which basal filaments are not contiguous (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
undulate,,"having a wavy surface. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
uniaxial,,"a thallus with a single central (axial) filament (cf. multiaxial). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
